観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),18日の最高気温(℃),18日の最高気温の品質情報,18日の最高気温起時（時）,18日の最高気温起時（分）,18日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（17日まで）,今年の最高気温（17日まで）の品質情報,今年の最高気温（17日まで）を観測した起日（年）,今年の最高気温（17日まで）を観測した起日（月）,今年の最高気温（17日まで）を観測した起日（日）,17日までの観測史上1位の値（℃）,17日までの観測史上1位の値の品質情報,17日までの観測史上1位の値を観測した起日（年）,17日までの観測史上1位の値を観測した起日（月）,17日までの観測史上1位の値を観測した起日（日）,17日までの11月の1位の値,17日までの11月の1位の値の品質情報,17日までの11月の1位の値の起日（年）,17日までの11月の1位の値の起日（月）,17日までの11月の1位の値の起日（日）,統計開始年
19451,北海道釧路地方,知方学（チッポマナイ）,,2024,11,18,23,00,6.7,5,00,03,5,-0.2,-8.3,11,2,,,0,27.4,5,2024,08,24,31.5,8,2010,06,26,16.8,8,2024,11,11,1978
20146,北海道十勝地方,陸別（リクベツ）,,2024,11,18,23,00,4.3,5,00,02,5,-1.9,-14.3,11,3,,,0,34.3,5,2024,07,21,37.8,8,2019,05,26,20.0,8,2015,11,05,1977
20186,北海道十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,,2024,11,18,23,00,2.5,5,00,18,5,-1.6,-11.4,11,3,,,0,31.9,5,2024,07,20,34.5,8,2019,05,26,19.8,8,2015,11,05,1976
20266,北海道十勝地方,上士幌（カミシホロ）,,2024,11,18,23,00,4.4,5,00,03,5,-1.3,-10.4,11,3,,,0,34.3,5,2024,07,21,36.6,8,2010,06,26,20.0,8,2003,11,02,1977
20276,北海道十勝地方,足寄（アショロ）,,2024,11,18,23,00,8.0,5,00,04,5,+0.7,-12.0,11,2,,,0,35.8,5,2024,07,21,38.8,8,2019,05,26,21.4,8,2015,11,05,1977
20341,北海道十勝地方,本別（ホンベツ）,,2024,11,18,23,00,6.8,5,00,02,5,-0.5,-13.5,11,2,,,0,35.9,5,2024,07,21,37.2,8,2019,05,26,21.1,8,2003,11,02,1976
20356,北海道十勝地方,新得（シントク）,,2024,11,18,23,00,2.5,5,12,37,5,-3.8,-11.2,12,1,,,0,36.0,5,2024,07,21,36.2,8,1999,08,09,20.9,8,2023,11,03,1977
20361,北海道十勝地方,鹿追（シカオイ）,,2024,11,18,23,00,2.8,5,00,05,5,-3.3,-12.1,11,3,,,0,36.1,5,2024,07,21,36.5,8,2019,05,26,20.2,8,2023,11,03,1978
20371,北海道十勝地方,駒場（コマバ）,,2024,11,18,23,00,3.9,5,00,02,5,-2.7,-12.7,11,3,,,0,34.2,5,2024,07,21,37.8,8,2014,06,03,20.8,8,2003,11,02,1977
20421,北海道十勝地方,芽室（メムロ）,,2024,11,18,23,00,3.5,5,00,04,5,-3.4,-11.6,12,1,,,0,35.5,5,2024,07,21,38.1,8,2019,05,26,20.7,8,2023,11,03,1977
20432,北海道十勝地方,帯広（オビヒロ）,47417,2024,11,18,23,00,4.6,5,00,06,5,-2.9,-11.8,11,3,,,0,35.1,5,2024,07,22,38.8,8,2019,05,26,23.5,8,1940,11,07,1892
20441,北海道十勝地方,池田（イケダ）,,2024,11,18,23,00,5.8,5,00,02,5,-1.6,-14.5,11,3,,,0,35.5,5,2024,07,22,38.8,8,2019,05,26,21.6,8,2022,11,13,1977
20506,北海道十勝地方,浦幌（ウラホロ）,,2024,11,18,23,00,7.2,5,00,01,5,-0.9,-13.0,11,3,,,0,35.0,5,2024,07,22,37.9,8,2019,05,26,21.0,8,2003,11,02,1977
20551,北海道十勝地方,帯広泉（オビヒロイズミ）,,2024,11,18,23,00,3.9,5,12,50,5,-2.8,-14.0,11,3,,,0,34.3,5,2024,07,22,37.8,8,2019,05,26,21.2,8,2023,11,03,2003
20556,北海道十勝地方,糠内（ヌカナイ）,,2024,11,18,23,00,4.7,5,12,55,5,-2.8,-15.5,11,3,,,0,35.8,5,2024,07,22,38.4,8,2019,05,26,21.8,8,2022,11,13,1978
20601,北海道十勝地方,上札内（カミサツナイ）,,2024,11,18,23,00,3.6,5,00,04,5,-2.5,-13.9,11,3,,,0,32.4,5,2024,07,22,36.7,8,2019,05,26,20.8,4,1979,11,05,1977
20606,北海道十勝地方,更別（サラベツ）,,2024,11,18,23,00,3.5,5,13,52,5,-3.2,-14.0,11,3,,,0,34.3,5,2024,07,22,38.0,8,2019,05,26,22.1,8,2023,11,03,1977
20631,北海道十勝地方,大津（オオツ）,,2024,11,18,23,00,6.2,5,11,54,5,-1.9,-11.8,11,3,,,0,31.9,5,2024,07,03,34.6,8,2010,08,06,20.4,8,2023,11,03,1977
20696,北海道十勝地方,大樹（タイキ）,,2024,11,18,23,00,5.1,5,00,01,5,-2.6,-13.5,11,3,,,0,33.1,5,2024,07,22,35.8,8,2023,08,26,21.5,8,2023,11,03,1977
20751,北海道十勝地方,広尾（ヒロオ）,47440,2024,11,18,23,00,7.3,5,00,03,5,-1.4,-12.6,11,3,,,0,33.3,5,2024,07,22,35.8,8,2019,05,26,22.4,8,2023,11,03,1958
21111,北海道胆振地方,厚真（アツマ）,,2024,11,18,23,00,3.3,5,12,22,5,-4.5,-12.6,12,1,,,0,34.4,5,2024,08,12,34.4,8,2024,08,12,20.6,8,2023,11,03,1977
21126,北海道胆振地方,穂別（ホベツ）,,2024,11,18,23,00,3.8,5,11,41,5,-3.5,-12.6,12,1,,,0,33.7,5,2024,08,12,34.8,8,2023,08,25,20.4,8,2023,11,03,1977
21161,北海道胆振地方,大滝（オオタキ）,,2024,11,18,23,00,-0.4,5,10,36,5,-5.3,-13.8,12,1,,,0,30.4,5,2024,08,11,33.1,8,2023,08,24,18.9,8,2023,11,03,1977
21171,北海道胆振地方,森野（モリノ）,,2024,11,18,23,00,1.2,5,10,47,5,-5.6,-11.7,12,2,,,0,31.8,5,2024,08,11,33.1,8,2021,07,27,20.2,8,2003,11,02,1977
21187,北海道胆振地方,苫小牧（トマコマイ）,47424,2024,11,18,23,00,4.7,5,12,38,5,-3.8,-10.2,12,1,,,0,32.3,5,2024,08,11,35.5,8,2007,08,15,20.5,8,2023,11,03,1942
21226,北海道胆振地方,大岸（オオキシ）,,2024,11,18,23,00,2.3,5,01,43,5,-5.7,-13.9,12,2,,,0,32.1,5,2024,08,15,33.6,8,2021,07,20,22.3,8,2023,11,03,1977
21261,北海道胆振地方,白老（シラオイ）,,2024,11,18,23,00,3.9,5,11,28,5,-4.5,-10.6,12,1,,,0,30.9,5,2024,08,24,33.3,8,2021,07,18,22.2,8,2023,11,03,1977
21276,北海道胆振地方,鵡川（ムカワ）,,2024,11,18,23,00,4.3,5,12,53,5,-3.7,-11.6,12,1,,,0,32.6,5,2024,08,12,33.5,8,1994,08,10,20.1,8,2023,11,03,1978
21297,北海道胆振地方,伊達（ダテ）,,2024,11,18,23,00,2.7,5,10,36,5,-5.6,-14.4,12,2,,,0,31.8,5,2024,08,12,33.5,8,2023,08,22,21.1,8,2023,11,03,2007
21312,北海道胆振地方,登別（ノボリベツ）,,2024,11,18,23,00,1.2,5,10,44,5,-5.7,-12.5,12,2,,,0,31.8,5,2024,07,21,32.4,8,2021,07,20,21.0,8,2023,11,03,1977
21323,北海道胆振地方,室蘭（ムロラン）,47423,2024,11,18,23,00,3.6,5,00,08,5,-4.9,-12.7,12,1,,,0,29.9,5,2024,08,23,32.8,8,1929,08,08,21.4,8,2023,11,03,1923
22036,北海道日高地方,日高（ヒダカ）,,2024,11,18,23,00,1.4,5,00,15,5,-4.3,-14.8,12,1,,,0,33.7,5,2024,08,13,35.8,8,2021,07,31,19.3,8,2023,11,06,1977
22141,北海道日高地方,日高門別（ヒダカモンベツ）,,2024,11,18,23,00,3.7,5,12,08,5,-4.6,-12.0,12,1,,,0,30.9,5,2024,08,12,32.2,8,2021,07,27,19.1,8,2004,11,01,1976
22156,北海道日高地方,新和（シンワ）,,2024,11,18,23,00,4.9,5,13,17,5,-3.1,-11.5,11,3,,,0,34.0,5,2024,08,12,36.0,8,2007,08,13,20.9,8,2004,11,01,1977
22241,北海道日高地方,静内（シズナイ）,,2024,11,18,23,00,4.6,5,11,39,5,-4.3,-11.8,12,1,,,0,33.9,5,2024,08,12,33.9,8,2024,08,12,20.3,8,2023,11,03,1977
22291,北海道日高地方,三石（ミツイシ）,,2024,11,18,23,00,4.6,5,12,50,5,-4.1,-12.1,12,1,,,0,33.0,5,2024,08,12,33.4,8,2023,08,28,20.6,8,2023,11,03,1977
22306,北海道日高地方,中杵臼（ナカキネウス）,,2024,11,18,23,00,6.0,5,00,02,5,-1.9,-10.8,11,3,,,0,31.8,5,2024,08,15,33.8,8,2023,08,25,19.4,8,2006,11,06,1978
22327,北海道日高地方,浦河（ウラカワ）,47426,2024,11,18,23,00,5.2,5,12,02,5,-3.9,-11.1,12,1,,,0,31.0,5,2024,08,12,31.5,8,2023,08,28,19.1,8,2023,11,03,1927
22391,北海道日高地方,えりも岬（エリモミサキ）,,2024,11,18,23,00,8.0,5,00,01,5,-0.6,-8.7,11,3,,,0,26.1,5,2024,08,09,28.5,8,2023,08,27,18.2,8,1979,11,05,1978
23031,北海道渡島地方,長万部（オシャマンベ）,,2024,11,18,23,00,3.1,5,00,17,5,-4.7,-13.2,12,1,,,0,31.2,5,2024,08,23,32.6,8,2021,07,18,21.7,8,2023,11,03,1977
23086,北海道渡島地方,八雲（ヤクモ）,,2024,11,18,23,00,2.9,5,00,34,5,-5.1,-14.4,12,1,,,0,32.1,5,2024,07,20,33.5,8,2021,07,20,22.1,8,2023,11,03,1977
23166,北海道渡島地方,森（モリ）,,2024,11,18,23,00,2.1,5,00,06,5,-5.4,-15.0,12,2,,,0,31.8,5,2024,07,21,33.6,8,2023,08,31,22.0,8,2023,11,03,2002
23206,北海道渡島地方,川汲（カックミ）,,2024,11,18,23,00,3.6,5,00,12,5,-5.2,-13.6,12,1,,,0,31.2,5,2024,08,24,33.4,8,2023,08,31,21.6,8,2023,11,03,1977
23226,北海道渡島地方,北斗（ホクト）,,2024,11,18,23,00,3.6,5,00,13,5,-4.8,-14.3,12,1,,,0,33.7,5,2024,08,23,34.5,8,2023,08,24,24.0,8,2023,11,03,1977
23232,北海道渡島地方,函館（ハコダテ）,47430,2024,11,18,23,00,3.9,5,00,01,5,-5.2,-13.1,12,1,,,0,32.2,5,2024,08,23,35.4,8,2023,08,10,22.7,8,2023,11,03,1872
23281,北海道渡島地方,高松（タカマツ）,,2024,11,18,23,00,4.0,5,00,03,5,-5.4,-12.5,12,2,,,0,29.8,5,2024,08,30,33.1,8,2023,08,10,20.6,8,2023,11,03,2003
23326,北海道渡島地方,木古内（キコナイ）,,2024,11,18,23,00,4.0,5,00,01,5,-5.0,-11.4,12,1,,,0,32.9,5,2024,08,23,34.2,8,2023,07,29,23.4,8,2023,11,03,1977
23376,北海道渡島地方,松前（マツマエ）,,2024,11,18,23,00,4.3,5,00,18,5,-5.6,-13.4,12,2,,,0,30.5,5,2024,08,30,34.2,8,2023,08,24,21.4,8,2023,11,06,1977
24141,北海道渡島地方,熊石（クマイシ）,,2024,11,18,23,00,3.0,5,00,02,5,-5.7,-13.3,12,2,,,0,30.4,5,2024,08,11,33.5,8,1978,08,03,20.1,8,2023,11,03,1977
24041,北海道檜山地方,せたな（セタナ）,,2024,11,18,23,00,3.1,5,00,06,5,-5.5,-14.3,12,2,,,0,29.5,5,2024,08,23,32.8,8,1999,08,04,20.2,8,2023,11,03,1977
24051,北海道檜山地方,今金（イマカネ）,,2024,11,18,23,00,2.9,5,00,10,5,-4.8,-14.8,12,1,,,0,32.4,5,2024,08,11,34.8,8,2006,08,09,21.0,8,2023,11,03,1977
24101,北海道檜山地方,奥尻（オクシリ）,,2024,11,18,23,00,4.8,5,00,24,5,-4.3,-12.2,12,1,,,0,28.4,5,2024,09,05,32.8,8,2023,08,10,20.8,8,2023,11,03,2000
24156,北海道檜山地方,米岡（ヨネオカ）,,2024,11,18,23,00,2.7,5,00,07,5,-6.0,-13.5,12,3,,,0,30.4,5,2024,08,30,32.7,8,2023,08,10,18.8,8,2023,11,06,2003
24201,北海道檜山地方,鶉（ウズラ）,,2024,11,18,23,00,2.8,5,00,14,5,-5.4,-13.6,12,1,,,0,31.6,5,2024,08,23,35.0,8,2023,08,10,21.6,8,2023,11,03,1977
24217,北海道檜山地方,江差（エサシ）,47428,2024,11,18,23,00,5.1,5,01,10,5,-4.6,-13.2,12,1,,,0,32.1,5,2024,08,30,34.6,8,2023,08,31,23.0,8,2023,11,06,1941
31001,青森県,大間（オオマ）,,2024,11,18,23,00,5.8,5,00,05,5,-4.4,-12.9,12,1,,,0,31.8,5,2024,08,23,32.9,8,2023,08,24,22.0,8,2003,11,03,1976
31111,青森県,むつ（ムツ）,47576,2024,11,18,23,00,5.9,5,00,04,5,-4.1,-10.7,12,1,,,0,32.8,5,2024,08,23,35.3,8,2023,08,10,22.6,8,2023,11,03,1935
31121,青森県,小田野沢（オダノサワ）,,2024,11,18,23,00,6.0,5,00,10,5,-4.2,-11.9,12,1,,,0,33.5,5,2024,08,23,34.9,8,2023,08,04,24.2,8,2023,11,03,1976
31136,青森県,今別（イマベツ）,,2024,11,18,23,00,5.1,5,00,32,5,-4.5,-11.7,12,1,,,0,33.2,5,2024,08,23,33.7,8,2023,08,26,22.8,8,2023,11,03,1976
31156,青森県,脇野沢（ワキノサワ）,,2024,11,18,23,00,5.7,5,00,08,5,-4.2,-11.3,12,1,,,0,32.8,5,2024,08,23,34.6,8,2023,08,24,22.8,8,2023,11,03,1976
31186,青森県,市浦（シウラ）,,2024,11,18,23,00,5.4,5,00,02,5,-4.6,-11.1,12,1,,,0,32.7,5,2024,07,21,37.2,8,2023,08,10,22.3,8,2023,11,03,1976
31201,青森県,蟹田（カニタ）,,2024,11,18,23,00,4.8,5,00,02,5,-5.0,-12.1,12,1,,,0,33.8,5,2024,08,23,34.6,8,2023,08,24,24.6,8,2023,11,03,1976
31296,青森県,五所川原（ゴショガワラ）,,2024,11,18,23,00,5.8,5,00,40,5,-4.3,-12.1,12,1,,,0,35.2,5,2024,08,23,39.0,8,2023,08,10,24.8,8,2023,11,03,1976
31312,青森県,青森（アオモリ）,47575,2024,11,18,23,00,5.9,5,08,37,5,-4.3,-14.0,12,1,,,0,34.6,5,2024,07,21,36.7,8,1994,08,12,24.1,8,2023,11,03,1882
31332,青森県,野辺地（ノヘジ）,,2024,11,18,23,00,7.6,5,00,05,5,-2.4,-11.7,11,3,,,0,34.3,5,2024,08,23,35.6,8,2023,08,10,25.4,8,2023,11,03,2008
31336,青森県,六ケ所（ロッカショ）,,2024,11,18,23,00,6.3,5,00,01,5,-3.4,-12.5,12,1,,,0,34.8,5,2024,08,23,34.8,8,2024,08,23,24.6,8,2023,11,03,1982
31366,青森県,鰺ケ沢（アジガサワ）,,2024,11,18,23,00,6.4,5,00,06,5,-4.1,-13.1,12,1,,,0,33.6,5,2024,08,23,36.9,8,2023,08,10,24.1,8,2023,11,06,1976
31386,青森県,青森大谷（アオモリオオタニ）,,2024,11,18,23,00,3.4,5,00,05,5,-5.1,-14.1,12,1,,,0,31.4,5,2024,08,03,35.7,8,2023,08,10,22.1,8,2023,11,06,2003
31436,青森県,深浦（フカウラ）,47574,2024,11,18,23,00,6.0,5,00,55,5,-4.3,-14.0,12,1,,,0,31.8,5,2024,08,16,37.9,8,1978,08,03,25.1,8,2023,11,06,1940
31461,青森県,弘前（ヒロサキ）,,2024,11,18,23,00,5.6,5,00,21,5,-4.8,-13.0,12,1,,,0,34.0,5,2024,08,24,39.3,8,2023,08,10,24.2,8,2020,11,19,1976
31466,青森県,黒石（クロイシ）,,2024,11,18,23,00,5.3,5,00,06,5,-4.5,-12.4,12,1,,,0,32.7,5,2024,08,03,36.4,8,2023,08,10,23.2,8,2020,11,19,1976
31482,青森県,酸ケ湯（スカユ）,,2024,11,18,23,00,-1.6,5,00,01,5,-5.1,-14.4,12,1,,,0,26.4,5,2024,08,03,30.8,8,1978,08,03,18.8,8,2023,11,06,1976
31506,青森県,三沢（ミサワ）,,2024,11,18,23,00,6.9,5,09,11,5,-3.8,-12.7,12,1,,,0,34.4,5,2024,07,22,37.0,8,2023,08,05,24.8,8,2023,11,03,1976
31586,青森県,十和田（トワダ）,,2024,11,18,23,00,6.1,5,00,01,5,-4.3,-12.0,12,1,,,0,32.4,5,2024,07,21,35.8,8,2004,07,31,24.3,8,2003,11,03,1976
31602,青森県,八戸（ハチノヘ）,47581,2024,11,18,23,00,7.3,5,00,05,5,-3.7,-15.1,12,1,,,0,34.7,5,2024,07,21,37.0,8,1978,08,03,24.9,8,2003,11,03,1936
31646,青森県,碇ケ関（イカリガセキ）,,2024,11,18,23,00,4.8,5,09,37,5,-4.3,-11.9,12,1,,,0,33.0,5,2024,08,30,37.9,8,1999,08,10,21.7,8,2020,11,19,1976
31662,青森県,休屋（ヤスミヤ）,,2024,11,18,23,00,2.8,5,10,20,5,-4.5,-13.0,12,1,,,0,31.1,5,2024,08,03,33.7,8,2021,08,07,21.0,8,2020,11,19,1982
31721,青森県,三戸（サンノヘ）,,2024,11,18,23,00,8.4,5,10,32,5,-2.5,-13.9,11,3,,,0,35.3,5,2024,08,03,37.7,8,1999,07,27,25.2,8,2023,11,03,1976
32056,秋田県,八森（ハチモリ）,,2024,11,18,23,00,7.2,5,00,37,5,-4.1,-12.3,12,1,,,0,32.8,5,2024,08,10,37.4,8,1978,08,03,24.2,8,2023,11,06,1976
32111,秋田県,能代（ノシロ）,,2024,11,18,23,00,8.1,5,00,06,5,-3.0,-9.8,12,1,,,0,33.8,5,2024,08,16,39.1,8,1978,08,03,23.5,8,2020,11,19,1976
32126,秋田県,鷹巣（タカノス）,,2024,11,18,23,00,7.5,5,10,41,5,-2.5,-9.9,11,3,,,0,35.0,5,2024,08,16,38.9,8,2023,08,08,23.9,8,2023,11,03,1976
32136,秋田県,大館（オオダテ）,,2024,11,18,23,00,7.2,5,10,31,5,-2.8,-12.3,11,3,,,0,35.0,5,2024,08,04,38.8,8,2023,08,23,23.8,8,2023,11,03,1976
32146,秋田県,鹿角（カヅノ）,,2024,11,18,23,00,5.9,5,00,58,5,-3.3,-14.2,12,1,,,0,33.2,5,2024,08,16,37.0,8,2000,07,31,23.1,8,2023,11,03,1976
32181,秋田県,脇神（ワキガミ）,,2024,11,18,23,00,6.3,5,10,42,5,-3.3,-11.0,12,1,,,0,34.2,5,2024,08,16,37.3,8,2019,08,15,22.8,8,2023,11,03,2003
32206,秋田県,湯瀬（ユゼ）,,2024,11,18,23,00,5.6,5,01,01,5,-3.1,-13.0,12,1,,,0,33.5,5,2024,08,07,36.0,8,2000,07,31,22.8,8,2020,11,19,1976
32266,秋田県,八幡平（ハチマンタイ）,,2024,11,18,23,00,3.1,5,00,04,5,-3.4,-12.1,12,1,,,0,30.4,5,2024,08,16,32.8,8,2007,08,14,20.2,8,2020,11,19,1978
32286,秋田県,男鹿（オガ）,,2024,11,18,23,00,7.6,5,01,03,5,-3.7,-10.5,12,1,,,0,34.4,5,2024,08,16,35.6,8,2000,07,31,22.5,8,2023,11,03,1976
32287,秋田県,大潟（オオガタ）,,2024,11,18,23,00,9.1,5,00,06,5,-2.2,-9.4,11,3,,,0,34.0,5,2024,08,30,38.1,8,1978,08,03,24.4,8,2020,11,19,1977
32296,秋田県,五城目（ゴジョウメ）,,2024,11,18,23,00,7.4,5,00,26,5,-3.9,-11.8,12,1,,,0,35.1,5,2024,08,30,38.1,8,2020,09,03,24.6,8,2020,11,19,1976
32311,秋田県,阿仁合（アニアイ）,,2024,11,18,23,00,5.9,5,00,11,5,-3.8,-11.4,12,1,,,0,34.2,5,2024,08,16,37.1,8,1978,08,03,24.3,8,2020,11,19,1976
32402,秋田県,秋田（アキタ）,47582,2024,11,18,23,00,8.4,5,10,57,5,-3.0,-8.6,12,1,,,0,35.8,5,2024,08,16,38.5,8,2023,08,23,25.2,8,2020,11,19,1882
32407,秋田県,岩見三内（イワミサンナイ）,,2024,11,18,23,00,7.1,5,11,47,5,-3.3,-10.0,12,1,,,0,34.6,5,2024,08,10,37.7,8,2000,07,31,24.8,8,2020,11,19,1976
32451,秋田県,雄和（ユウワ）,,2024,11,18,23,00,7.3,5,12,47,5,-3.0,-8.9,12,1,,,0,34.2,5,2024,08,16,37.2,8,2023,08,23,24.3,8,2020,11,19,2003
32466,秋田県,角館（カクノダテ）,,2024,11,18,23,00,7.6,5,12,19,5,-2.6,-10.0,11,3,,,0,35.1,5,2024,08,23,37.8,8,2000,07,31,24.3,8,2003,11,03,1976
32476,秋田県,田沢湖（タザワコ）,,2024,11,18,23,00,6.5,5,00,08,5,-2.5,-10.7,11,3,,,0,33.1,5,2024,08,04,36.5,8,2018,08,23,23.2,8,2020,11,19,1976
32496,秋田県,大正寺（ダイショウジ）,,2024,11,18,23,00,8.0,5,11,17,5,-2.4,-8.5,11,3,,,0,33.3,5,2024,08,23,37.2,8,1978,08,03,24.3,8,2023,11,03,1976
32551,秋田県,大曲（オオマガリ）,,2024,11,18,23,00,7.7,5,11,32,5,-2.6,-12.2,11,3,,,0,34.8,5,2024,08,27,37.6,8,2000,07,31,24.4,8,2023,11,03,1976
32571,秋田県,本荘（ホンジョウ）,,2024,11,18,23,00,9.5,5,01,37,5,-2.7,-11.7,12,1,,,0,35.1,5,2024,08,16,37.8,8,2018,08,23,26.0,8,2020,11,19,1976
32581,秋田県,東由利（ヒガシユリ）,,2024,11,18,23,00,7.6,5,00,09,5,-3.5,-14.8,12,1,,,0,35.9,5,2024,08,23,38.0,8,2000,07,31,25.5,8,2023,11,03,1976
32596,秋田県,横手（ヨコテ）,,2024,11,18,23,00,7.4,5,00,11,5,-3.1,-14.7,12,1,,,0,36.4,5,2024,08,23,39.2,8,2023,08,31,25.9,8,2023,11,03,1976
32616,秋田県,にかほ（ニカホ）,,2024,11,18,23,00,10.6,5,02,09,5,-2.5,-10.9,12,1,,,0,33.9,5,2024,08,30,38.2,8,2020,09,03,27.3,8,2023,11,06,1976
32626,秋田県,矢島（ヤシマ）,,2024,11,18,23,00,7.7,5,00,10,5,-3.9,-12.2,12,1,,,0,34.2,5,2024,08,23,37.7,8,2000,07,31,25.4,8,2023,11,03,1976
32691,秋田県,湯沢（ユザワ）,,2024,11,18,23,00,7.7,5,00,34,5,-2.8,-14.6,11,3,,,0,34.7,5,2024,08,23,36.8,8,2015,07,13,25.2,8,2020,11,19,1976
32771,秋田県,湯の岱（ユノタイ）,,2024,11,18,23,00,6.5,5,00,08,5,-2.7,-13.9,11,3,,,0,31.6,5,2024,08,04,35.3,8,1999,07,27,22.9,8,2003,11,03,1976
33006,岩手県,種市（タネイチ）,,2024,11,18,23,00,7.7,5,10,46,5,-3.0,-14.5,12,1,,,0,34.1,5,2024,08,24,35.4,8,2015,08,05,23.5,8,2023,11,03,1976
33026,岩手県,軽米（カルマイ）,,2024,11,18,23,00,7.1,5,00,02,5,-3.0,-14.7,12,1,,,0,34.6,5,2024,08,24,36.2,8,2018,08,23,23.5,8,2023,11,03,1976
33071,岩手県,二戸（ニノヘ）,,2024,11,18,23,00,6.9,5,00,04,5,-3.3,-12.4,12,1,,,0,33.2,5,2024,08,24,35.8,8,1994,08,10,23.8,8,2023,11,03,1976
33136,岩手県,山形（ヤマガタ）,,2024,11,18,23,00,6.6,5,00,10,5,-3.4,-13.8,12,1,,,0,33.8,5,2024,07,21,36.4,8,2018,08,23,24.4,8,2020,11,19,1977
33146,岩手県,久慈（クジ）,,2024,11,18,23,00,9.1,5,11,25,5,-2.9,-13.0,12,1,,,0,35.4,5,2024,08,23,36.4,8,2023,08,03,26.0,8,2023,11,03,1976
33166,岩手県,荒屋（アラヤ）,,2024,11,18,23,00,5.8,5,00,10,5,-2.8,-15.0,11,3,,,0,33.1,5,2024,08,04,35.0,8,2018,08,23,23.0,8,2023,11,03,1976
33176,岩手県,奥中山（オクナカヤマ）,,2024,11,18,23,00,4.6,5,00,01,5,-2.8,-11.4,12,1,,,0,31.7,5,2024,08,07,33.5,8,2018,08,23,20.4,8,2023,11,03,1977
33186,岩手県,葛巻（クズマキ）,,2024,11,18,23,00,5.6,5,00,04,5,-3.1,-12.4,12,1,,,0,31.5,5,2024,08,03,34.7,8,2007,08,12,21.8,8,2020,11,19,1976
33206,岩手県,普代（フダイ）,,2024,11,18,23,00,10.3,5,11,58,5,-2.2,-12.8,11,3,,,0,35.0,5,2024,07,22,37.7,8,1978,08,03,26.8,8,2023,11,03,1976
33226,岩手県,岩手松尾（イワテマツオ）,,2024,11,18,23,00,6.2,5,00,20,5,-3.0,-9.5,12,1,,,0,33.9,5,2024,08,07,35.7,8,2023,08,05,23.0,8,2023,11,03,1976
33296,岩手県,好摩（コウマ）,,2024,11,18,23,00,7.9,5,09,28,5,-1.8,-9.6,11,3,,,0,35.1,5,2024,08,07,36.0,8,1999,07,27,22.8,8,2023,11,03,1976
33326,岩手県,岩泉（イワイズミ）,,2024,11,18,23,00,8.9,5,10,54,5,-3.2,-13.8,12,1,,,0,35.0,5,2024,08,23,38.5,8,1994,08,12,25.8,8,2023,11,03,1976
33336,岩手県,小本（オモト）,,2024,11,18,23,00,9.7,5,13,08,5,-3.1,-14.2,12,1,,,0,35.4,5,2024,09,11,36.9,8,2023,07,31,26.8,8,2023,11,03,1977
33371,岩手県,薮川（ヤブカワ）,,2024,11,18,23,00,3.2,5,10,26,5,-3.2,-12.1,12,1,,,0,31.4,5,2024,08,15,31.8,8,2018,08,23,20.5,8,2020,11,19,1976
33421,岩手県,雫石（シズクイシ）,,2024,11,18,23,00,7.2,5,09,30,5,-2.1,-9.1,11,3,,,0,33.7,5,2024,08,03,35.8,4,1978,08,02,23.2,8,2023,11,03,1976
33431,岩手県,盛岡（モリオカ）,47584,2024,11,18,23,00,8.6,5,00,06,5,-1.4,-11.1,11,3,,,0,35.2,5,2024,08,04,37.2,8,1924,07,12,22.6,8,2023,11,03,1923
33441,岩手県,区界（クザカイ）,,2024,11,18,23,00,3.3,5,00,07,5,-2.8,-12.1,11,3,,,0,29.2,5,2024,08,04,31.6,8,2018,08,23,19.9,8,2020,11,19,1993
33472,岩手県,宮古（ミヤコ）,47585,2024,11,18,23,00,10.6,5,13,07,5,-2.4,-13.3,11,3,,,0,35.0,5,2024,08,24,37.3,8,1933,07,23,26.9,8,1940,11,07,1883
33486,岩手県,沢内（サワウチ）,,2024,11,18,23,00,6.1,5,00,14,5,,-12.1,,,,,0,32.0,5,2024,08,06,34.1,8,2018,08,23,22.3,8,2023,11,03,2017
33501,岩手県,紫波（シワ）,,2024,11,18,23,00,7.9,5,10,30,5,-2.2,-11.1,11,3,,,0,34.4,5,2024,08,07,36.3,8,2007,08,14,21.8,8,2023,11,03,1976
33526,岩手県,川井（カワイ）,,2024,11,18,23,00,9.2,5,11,18,5,-2.3,-8.8,11,3,,,0,34.6,5,2024,08,03,37.5,8,2007,08,13,25.2,8,2023,11,03,1977
33576,岩手県,花巻（ハナマキ）,,2024,11,18,23,00,9.7,5,11,15,5,-1.2,-10.0,11,3,,,0,34.7,5,2024,08,07,36.6,8,2015,07,22,22.5,8,2023,11,03,2003
33581,岩手県,大迫（オオハサマ）,,2024,11,18,23,00,8.7,5,12,31,5,-1.8,-11.6,11,3,,,0,34.3,5,2024,08,04,36.4,8,2018,08,23,23.7,8,2023,11,03,1976
33616,岩手県,山田（ヤマダ）,,2024,11,18,23,00,10.8,5,00,03,5,-3.0,-14.2,12,1,,,0,36.0,5,2024,07,22,37.5,8,2015,07,14,25.5,8,2023,11,03,1976
